eventID,Zone,QuakeProb,Mq,Slip,NumSubfaults
461,java,0.144700E-03,7.500,0.170394E+01,6
462,java,0.144700E-03,7.500,0.170394E+01,6
463,java,0.144700E-03,7.500,0.170394E+01,6
464,java,0.144700E-03,7.500,0.170394E+01,6
465,java,0.144700E-03,7.500,0.170394E+01,6
466,java,0.144700E-03,7.500,0.170394E+01,6
467,java,0.144700E-03,7.500,0.170394E+01,6
468,java,0.144700E-03,7.500,0.170394E+01,3
469,java,0.144700E-03,7.500,0.170394E+01,6
470,java,0.144700E-03,7.500,0.170394E+01,6
471,java,0.144700E-03,7.500,0.170394E+01,6
472,java,0.144700E-03,7.500,0.170394E+01,6
473,java,0.144700E-03,7.500,0.170394E+01,6
474,java,0.144700E-03,7.500,0.170394E+01,6
475,java,0.144700E-03,7.500,0.170394E+01,6
476,java,0.144700E-03,7.500,0.170394E+01,6
477,java,0.144700E-03,7.500,0.170394E+01,6
478,java,0.144700E-03,7.500,0.170394E+01,6
479,java,0.144700E-03,7.500,0.170394E+01,6
480,java,0.144700E-03,7.500,0.170394E+01,6
481,java,0.144700E-03,7.500,0.170394E+01,3
482,java,0.144700E-03,7.500,0.170394E+01,6
483,java,0.144700E-03,7.500,0.170394E+01,6
484,java,0.144700E-03,7.500,0.170394E+01,6
485,java,0.144700E-03,7.500,0.170394E+01,6
486,java,0.144700E-03,7.500,0.170394E+01,6
487,java,0.144700E-03,7.500,0.170394E+01,6
488,java,0.144700E-03,7.500,0.170394E+01,6
489,java,0.144700E-03,7.500,0.170394E+01,6
490,java,0.144700E-03,7.500,0.170394E+01,6
491,java,0.144700E-03,7.500,0.170394E+01,6
492,java,0.144700E-03,7.500,0.170394E+01,6
493,java,0.144700E-03,7.500,0.170394E+01,6
494,java,0.144700E-03,7.500,0.170394E+01,3
495,java,0.144700E-03,7.500,0.170394E+01,6
496,java,0.144700E-03,7.500,0.170394E+01,6
497,java,0.144700E-03,7.500,0.170394E+01,6
498,java,0.144700E-03,7.500,0.170394E+01,6
499,java,0.144700E-03,7.500,0.170394E+01,6
500,java,0.144700E-03,7.500,0.170394E+01,6
501,java,0.144700E-03,7.500,0.170394E+01,6
502,java,0.144700E-03,7.500,0.170394E+01,6
503,java,0.144700E-03,7.500,0.170394E+01,6
504,java,0.144700E-03,7.500,0.170394E+01,6
505,java,0.144700E-03,7.500,0.170394E+01,6
506,java,0.144700E-03,7.500,0.170394E+01,6
507,java,0.144700E-03,7.500,0.170394E+01,3
508,java,0.144700E-03,7.500,0.170394E+01,6
509,java,0.144700E-03,7.500,0.170394E+01,6
510,java,0.144700E-03,7.500,0.170394E+01,6
511,java,0.144700E-03,7.500,0.170394E+01,6
512,java,0.144700E-03,7.500,0.170394E+01,6
513,java,0.144700E-03,7.500,0.170394E+01,6
514,java,0.144700E-03,7.500,0.170394E+01,6
515,java,0.144700E-03,7.500,0.170394E+01,6
516,java,0.144700E-03,7.500,0.170394E+01,6
517,java,0.144700E-03,7.500,0.170394E+01,6
518,java,0.144700E-03,7.500,0.170394E+01,6
519,java,0.144700E-03,7.500,0.170394E+01,6
520,java,0.144700E-03,7.500,0.170394E+01,3
521,java,0.144700E-03,7.500,0.170394E+01,6
522,java,0.144700E-03,7.500,0.170394E+01,6
523,java,0.144700E-03,7.500,0.170394E+01,6
524,java,0.144700E-03,7.500,0.170394E+01,6
525,java,0.144700E-03,7.500,0.170394E+01,6
526,java,0.144700E-03,7.500,0.170394E+01,6
527,java,0.144700E-03,7.500,0.170394E+01,6
528,java,0.144700E-03,7.500,0.170394E+01,6
529,java,0.144700E-03,7.500,0.170394E+01,6
530,java,0.144700E-03,7.500,0.170394E+01,6
531,java,0.144700E-03,7.500,0.170394E+01,6
532,java,0.144700E-03,7.500,0.170394E+01,6
